breed,originationLocation,originationTime,
Abyssinian,Ethiopia,Founder,
Aegean,Greece,1990,
American Bobtail,United States,1960,
American Curl,United States,1981,
American Shorthair,United States,Founder,
American Wirehair,United States,1966,
Balinese,United States,1940,
Bengal,United States,1863,
Birman,France,Founder,
Bombay,United States,1958,
Brazilian Shorthair,Brazil,1980,
British Longhair,United Kingdom,1960,
British Shorthair,United Kingdom,Founder,
Burmese,Burma,Founder,
Burmilla,United Kingdom,1981,
California Spangled,United States,1971,
Chantilly-Tiffany,United States,1967,
Chartreux,France,Founder,
Chausie,France,1995,
Colorpoint Shorthair,,1947,
Cornish Rex,England,1950,
Cymric,"Isle of Man, and Canada",1960,
Cyprus,Cyprus,2099,
Devon Rex,England,1960,
Egyptian Mau,Egypt,Founder,
European Shorthair,Finland and Sweden,1982,
Exotic Shorthair,United States,1950,
Foldex,Canada,1992,
German Rex,Germany,1946,
Havana Brown,United Kingdom,1952,
Himalayan,"United States, United Kingdom",1920,
Japanese Bobtail,Japan,Founder,
Javanese,United States,1960,
Karelian Bobtail,Russia,1990,
Khao Manee,Thailand,Founder,
Korat,Thailand,Founder,
Kurilian Bobtail,"Russia, Japan",1990,
LaPerm,United States,1986,
Lykoi,United States,2010,
Maine Coon,United States,Founder,
Manx,Isle of Man,1837,
Mekong Bobtail,Russia,
Minskin,United States,2000,
Munchkin,United States,1991,
Napoleon,,2002,
Nebelung,United States,1986,
Norwegian Forest Cat,Norway,Founder,
Ocicat,United States,1964,
Ojos Azules,United States,1984,
Oregon Rex,United States,1959,
Persian (traditional),Iran,Founder,
Pixie-bob,United States,1995,
"Ragamuffin, or",United States,1994,
Ragdoll,United States,1960,
Russian Blue,Russia,Early,
"Russian White, Black, and Tabby",Australia,
Savannah,United States,1997,
Scottish Fold,Scotlland,1961,
Selkirk Rex,United States,1987,
Serengeti,United States,1996,
SiameseÂ (modern),"United States, Europe",1871,
Siberian,Russia,Founder,
Singapura,United States,1971,
Snowshoe,United States,1960,
Sokoke,Kenya,1977,
Somali,Somalia,1967,
Sphynx,Canada,1966,
Thai (Traditional Siamese),Thailand,Founder,
Tonkinese,Canada,1950,
Turkish Angora,Turkey,Founder,
Turkish Van,Turkey,Founder,
York Chocolate,United States,1983,
