dBreed,dLat,dLon
Affenpinscher,46.227638,2.213749
Affenpinscher,51.165691,10.451526
Afghan Hound,33.93911,67.709953
Airedale Terrier,55.378051,-3.435973
Akita,36.204824,138.252924
Alaskan Malamute,37.09024,-95.712891
Alpine Dachsbracke,47.516231,14.550072
American Akita,37.09024,-95.712891
American Cocker Spaniel,37.09024,-95.712891
American Foxhound,37.09024,-95.712891
American Staffordshire Terrier,37.09024,-95.712891
American Water Spaniel,37.09024,-95.712891
Anatolian Shepherd Dog,38.963745,35.243322
Andalusian Hound,40.463667,-3.74922
Anglo-Français de Petite Vénerie,46.227638,2.213749
Appenzeller Sennenhund,46.818188,8.227512
Argentine Polar Dog,-38.416097,-63.616672
Ariegeois,46.227638,2.213749
Armant,26.820553,30.802498
Armenian Gampr dog,40.069099,45.038189
Artois Hound,46.227638,2.213749
Australian Cattle Dog,-25.274398,133.775136
Australian Kelpie,-25.274398,133.775136
Australian Shepherd,37.09024,-95.712891
Australian Stumpy Tail Cattle ,-25.274398,133.775136
Australian Terrier,-25.274398,133.775136
Austrian Black and Tan Hound,47.516231,14.550072
Austrian Pinscher,47.516231,14.550072
Azawakh,17.570692,-3.996166
Bakharwal dog,20.593684,78.96288
Barbado da Terceira ,39.399872,-8.224454
Barbet,46.227638,2.213749
Basenji,-0.228021,15.827659
Basque Shepherd Dog,40.463667,-3.74922
Basset Artésien Normand,46.227638,2.213749
Basset Bleu de Gascogne,46.227638,2.213749
Basset Fauve de Bretagne,46.227638,2.213749
Basset Hound,46.227638,2.213749
Bavarian Mountain Hound,51.165691,10.451526
Beagle,55.378051,-3.435973
Beagle-Harrier,46.227638,2.213749
Bearded Collie,57.167212,-4.301964
Beauceron,46.227638,2.213749
Bedlington Terrier,55.378051,-3.435973
Belgian Shepherd Dog (Groenendael),50.503887,4.469936
Belgian Shepherd Dog (Laekenois),50.503887,4.469936
Belgian Shepherd Dog (Malinois),50.503887,4.469936
Belgian Shepherd Dog (Tervuren),50.503887,4.469936
Bergamasco Shepherd,41.87194,12.56738
Berger Blanc Suisse,46.818188,8.227512
Berger Picard,46.227638,2.213749
Bernese Mountain Dog,46.818188,8.227512
Bichon Frisé,40.463667,-3.74922
Billy,46.227638,2.213749
Black and Tan Coonhound,37.09024,-95.712891
Black and Tan Virginia Foxhound,37.09024,-95.712891
Black Mouth Cur,37.09024,-95.712891
Black Norwegian Elkhound,60.472024,8.468946
Black Russian Terrier,61.52401,105.318756
Bloodhound,50.503887,4.469936
Bloodhound,46.227638,2.213749
Blue Heeler,-25.274398,133.775136
Blue Lacy,37.09024,-95.712891
Blue Paul Terrier,57.167212,-4.301964
Blue Picardy Spaniel,46.227638,2.213749
Bluetick Coonhound,37.09024,-95.712891
Boerboel,-30.559482,22.937506
Bohemian Shepherd,49.817492,15.472962
Bolognese,41.87194,12.56738
Border Collie,55.378051,-3.435973
Border Terrier,55.378051,-3.435973
Borzoi,61.52401,105.318756
Bosnian Coarse-haired Hound,43.915886,17.679076
Boston Terrier,37.09024,-95.712891
Bouvier des Ardennes,50.503887,4.469936
Bouvier des Flandres,50.503887,4.469936
Boxer,51.165691,10.451526
Boykin Spaniel,37.09024,-95.712891
Bracco Italiano,41.87194,12.56738
Braque d'Auvergne,46.227638,2.213749
Braque de l'Ariege,46.227638,2.213749
Braque du Bourbonnais,46.227638,2.213749
Braque du Puy,46.227638,2.213749
Braque Francais,46.227638,2.213749
Braque Saint-Germain,46.227638,2.213749
Brazilian Dogo,-14.235004,-51.92528
Brazilian Terrier,-14.235004,-51.92528
Briard,46.227638,2.213749
Briquet Griffon Vendéen,46.227638,2.213749
Brittany,46.227638,2.213749
Broholmer,56.26392,9.501785
Bruno Jura Hound,46.227638,2.213749
Bruno Jura Hound,46.818188,8.227512
Brussels Griffon,50.503887,4.469936
Bucovina Shepherd Dog,45.943161,24.96676
Bull Terrier,55.378051,-3.435973
Bulldog,55.378051,-3.435973
Bullenbeisser,51.165691,10.451526
Bullmastiff,55.378051,-3.435973
Bully Kutta,20.593684,78.96288
Bully Kutta,30.375321,69.345116
Burgos Pointer,40.463667,-3.74922
Cairn Terrier,57.167212,-4.301964
Canadian Eskimo Dog,56.130366,-106.346771
Cane Corso,41.87194,12.56738
Cantabrian Water Dog,40.463667,-3.74922
Cão da Serra de Aires,39.399872,-8.224454
Cão de Castro Laboreiro,39.399872,-8.224454
Cão de Gado Transmontano,39.399872,-8.224454
Cão Fila de São Miguel,39.399872,-8.224454
Carolina Dog,37.09024,-95.712891
Carpathian Shepherd Dog,45.943161,24.96676
Catalan Sheepdog,40.463667,-3.74922
Caucasian Shepherd Dog,42.315407,43.356892
Cavalier King Charles Spaniel,55.378051,-3.435973
Central Asian Shepherd Dog,61.52401,105.318756
Cesky Fousek,49.817492,15.472962
Cesky Terrier,49.817492,15.472962
Chesapeake Bay Retriever,37.09024,-95.712891
Chien Français Blanc et Noir,46.227638,2.213749
Chien Français Blanc et Orange,46.227638,2.213749
Chien Français Tricolore,46.227638,2.213749
Chien-gris,46.227638,2.213749
Chihuahua,23.634501,-102.552784
Chilean Terrier,-35.675147,-71.542969
Chinese Chongqing Dog,35.86166,104.195397
Chinese Crested Dog,13.575425,-85.820149
Chinese Imperial Dog,35.86166,104.195397
Chinook,37.09024,-95.712891
Chippiparai,20.593684,78.96288
Chiribaya Dog,-9.189967,-75.015152
Chow Chow,35.86166,104.195397
Cierny Sery,48.669026,19.699024
Cimarrón Uruguayo,-32.522779,-55.765835
Cirneco dell'Etna,41.87194,12.56738
Clumber Spaniel,55.378051,-3.435973
Collie,57.167212,-4.301964
Combai,20.593684,78.96288
Cordoba Fighting Dog,-38.416097,-63.616672
Coton de Tulear,-18.766947,46.869107
Cretan Hound,39.074208,21.824312
Croatian Sheepdog,45.1,15.2
Cumberland Sheepdog,55.378051,-3.435973
Curly-Coated Retriever,55.378051,-3.435973
Cursinu,46.227638,2.213749
Czechoslovakian Wolfdog,49.817492,15.472962
Dachshund,51.165691,10.451526
Dalbo dog,60.128161,18.643501
Dalmatian,45.1,15.2
Dandie Dinmont Terrier,57.167212,-4.301964
Danish-Swedish Farmdog,56.26392,9.501785
Danish-Swedish Farmdog,60.128161,18.643501
Deutsche Bracke,51.165691,10.451526
Doberman Pinscher,51.165691,10.451526
Dogo Argentino,-38.416097,-63.616672
Dogo Cubano,21.521757,-77.781167
Dogue de Bordeaux,46.227638,2.213749
Drentse Patrijshond,52.132633,5.291266
Drever,60.128161,18.643501
Dunker,60.472024,8.468946
Dutch Shepherd,52.132633,5.291266
Dutch Smoushond,52.132633,5.291266
East European Shepherd,61.52401,105.318756
East Siberian Laika,61.52401,105.318756
Elo,51.165691,10.451526
English Cocker Spaniel,55.378051,-3.435973
English Foxhound,55.378051,-3.435973
English Mastiff,55.378051,-3.435973
English Pointer,55.378051,-3.435973
English Setter,55.378051,-3.435973
English Shepherd,55.378051,-3.435973
English Springer Spaniel,55.378051,-3.435973
English Toy Terrier (Black & Tan),55.378051,-3.435973
English Water Spaniel,55.378051,-3.435973
English White Terrier,55.378051,-3.435973
Entlebucher Mountain Dog,46.818188,8.227512
Estonian Hound,58.595272,25.013607
Estrela Mountain Dog,39.399872,-8.224454
Eurasier,51.165691,10.451526
Eurohound,63.874334,16.948939
Field Spaniel,55.378051,-3.435973
Fila Brasileiro,-14.235004,-51.92528
Finnish Hound,61.92411,25.748151
Finnish Lapphund,61.92411,25.748151
Finnish Spitz,61.92411,25.748151
Flat-Coated Retriever,55.378051,-3.435973
Fox Terrier,55.378051,-3.435973
French Brittany,46.227638,2.213749
French Bulldog,46.227638,2.213749
French Spaniel,46.227638,2.213749
Gaddi Kutta,20.593684,78.96288
Galgo Español,40.463667,-3.74922
Galician Shepherd,40.463667,-3.74922
Garafian Shepherd,40.463667,-3.74922
Gascon Saintongeois,46.227638,2.213749
Georgian Shepherd,42.315407,43.356892
German Pointer,51.165691,10.451526
German Pinscher,51.165691,10.451526
German Shepherd Dog,51.165691,10.451526
German Spaniel,51.165691,10.451526
German Spitz,51.165691,10.451526
Giant Schnauzer,51.165691,10.451526
Glen of Imaal Terrier,53.41291,-8.24389
Golden Retriever,57.167212,-4.301964
Gordon Setter,57.167212,-4.301964
Gran Mastín de Borínquen,18.220833,-66.590149
Grand Anglo-Français Blanc et Noir,46.227638,2.213749
Grand Anglo-Français Blanc et Orange,46.227638,2.213749
Grand Anglo-Français Tricolore,46.227638,2.213749
Grand Basset Griffon Vendéen,46.227638,2.213749
Grand Bleu de Gascogne,46.227638,2.213749
Grand Griffon Vendéen,46.227638,2.213749
Great Dane,51.165691,10.451526
Great Pyrenees,46.227638,2.213749
Great Pyrenees,40.463667,-3.74922
Greater Swiss Mountain,46.818188,8.227512
Greek Harehound,39.074208,21.824312
Greek Shepherd ,39.074208,21.824312
Greenland,71.706936,-42.604303
Greyhound,29.733931,40.293571
Greyhound,55.378051,-3.435973
Griffon Bleu de Gascogne,46.227638,2.213749
Griffon Fauve de Bretagne,46.227638,2.213749
Griffon Nivernais,46.227638,2.213749
Guatemalan Dogo,15.783471,-90.230759
Gull Terrier,20.593684,78.96288
Gull Terrier,30.375321,69.345116
Hamiltonstövare,60.128161,18.643501
Hanover Hound,51.165691,10.451526
Hare Indian Dog,37.09024,-95.712891
Harrier,55.378051,-3.435973
Havanese,21.521757,-77.781167
Hawaiian Poi Dog,37.09024,-95.712891
Himalayan Sheepdog,28.394857,84.124008
Hokkaido,36.204824,138.252924
Hortaya borzaya,48.379433,31.16558
Hovawart,51.165691,10.451526
Huntaway,-40.900557,174.885971
Hygen Hound,60.472024,8.468946
Ibizan Hound,40.463667,-3.74922
Icelandic Sheepdog,64.963051,-19.020835
Indian Pariah,20.593684,78.96288
Indian Spitz,20.593684,78.96288
Irish Setter,53.41291,-8.24389
Irish Terrier,53.41291,-8.24389
Irish Water Spaniel,53.41291,-8.24389
Irish Wolfhound,53.41291,-8.24389
Istrian Coarse-haired Hound,45.1,15.2
Istrian Short-haired Hound,45.1,15.2
Italian Greyhound,41.87194,12.56738
Jack Russell Terrier,55.378051,-3.435973
Jagdterrier,51.165691,10.451526
Japanese Chin,36.204824,138.252924
Japanese Spitz,36.204824,138.252924
Japanese Terrier,36.204824,138.252924
Jindo,35.907757,127.766922
Jonangi,20.593684,78.96288
Kai Ken,36.204824,138.252924
Kaikadi,20.593684,78.96288
Kangal Shepherd,38.963745,35.243322
Kanni,20.593684,78.96288
Karakachan,42.733883,25.48583
Karelian Bear,61.92411,25.748151
Karst Shepherd,46.151241,14.995463
Keeshond,51.165691,10.451526
Keeshond,52.132633,5.291266
Kerry Beagle,53.41291,-8.24389
Kerry Blue Terrier,53.41291,-8.24389
King Charles Spaniel,55.378051,-3.435973
King Shepherd,37.09024,-95.712891
Kintamani,-0.789275,113.921327
Kishu Ken,36.204824,138.252924
Komondor,47.162494,19.503304
Koolie,-25.274398,133.775136
Koyun,38.963745,35.243322
Kromfohrländer,51.165691,10.451526
Kumaon Mastiff,20.593684,78.96288
Kunming Wolfdog,35.86166,104.195397
Kuvasz,47.162494,19.503304
Kyi-Leo,37.09024,-95.712891
Labrador Husky,56.130366,-106.346771
Labrador Retriever,55.378051,-3.435973
Lagotto Romagnolo,41.87194,12.56738
Lakeland Terrier,55.378051,-3.435973
Lancashire Heeler,55.378051,-3.435973
Landseer,56.130366,-106.346771
Lapponian Herder,61.92411,25.748151
Lapponian Shepherd,61.92411,25.74815
Leonberger,51.165691,10.451526
Lhasa Apso,33.329499,88.216532
Lithuanian Hound,55.169438,23.881275
Louisiana Catahoula Leopard,37.09024,-95.712891
Löwchen,51.165691,10.451526
Mackenzie River Husky,56.130366,-106.346771
Magyar Agár,47.162494,19.503304
Magyar Agár,45.943161,24.96676
Mahratta Greyhound,20.593684,78.96288
Maltese,41.87194,12.56738
Manchester Terrier,55.378051,-3.435973
Maremma Sheepdog,41.87194,12.56738
McNab,39.551249,-122.915849
Miniature American Shepherd,37.09024,-95.712891
Miniature Bull Terrier,55.378051,-3.435973
Miniature Fox Terrier,-25.274398,133.775136
Miniature Pinscher,51.165691,10.451526
Miniature Schnauzer,51.165691,10.451526
Miniature Shar Pei,35.86166,104.195397
Molossus,39.074208,21.824312
Molossus of Epirus,39.074208,21.824312
Montenegrin Mountain Hound,42.708678,19.37439
Moscow Watchdog,61.52401,105.318756
Moscow Water Dog,61.52401,105.318756
Mountain Cur,37.09024,-95.712891
Mucuchies,6.42375,-66.58973
Mudhol Hound,20.593684,78.96288
Mudi,47.162494,19.503304
Münsterländer,51.165691,10.451526
Neapolitan Mastiff,41.87194,12.56738
Nederlandse Kooikerhondje,52.132633,5.291266
New Zealand Heading,-40.900557,174.885971
Newfoundland,56.130366,-106.346771
Norfolk Spaniel,55.378051,-3.435973
Norfolk Terrier,55.378051,-3.435973
Norrbottenspets,60.128161,18.643501
North Country Beagle,55.378051,-3.435973
Northern Inuit,55.378051,-3.435973
Norwegian Buhund,60.472024,8.468946
Norwegian Elkhound,60.472024,8.468946
Norwegian Lundehund,60.472024,8.468946
Norwich Terrier,55.378051,-3.435973
Nova Scotia Duck Tolling Retriever,56.130366,-106.346771
Old Croatian Sighthound,45.1,15.2
Old Danish Pointer,56.26392,9.501785
Old English Bulldog,55.378051,-3.435973
Old English Sheepdog,55.378051,-3.435973
Old English Terrier,55.378051,-3.435973
Old German Shepherd Dog,51.165691,10.451526
Old Spanish Pointer,40.463667,-3.74922
Old Time Farm Shepherd,37.09024,-95.712891
Olde English Bulldogge,37.09024,-95.712891
Otterhound,55.378051,-3.435973
Pachon Navarro,40.463667,-3.74922
Paisley Terrier,57.167212,-4.301964
Pandikona,20.593684,78.96288
Papillon,50.503887,4.469936
Papillon,40.463667,-3.74922
Parson Russell Terrier,55.378051,-3.435973
Pastore della Lessinia e del Lagorai,41.87194,12.56738
Patterdale Terrier,55.378051,-3.435973
Pekingese,35.86166,104.195397
Perro de Pastor Mallorquin,40.463667,-3.74922
Perro de Presa Canario,40.463667,-3.74922
Perro de Presa Mallorquin,40.463667,-3.74922
Peruvian Inca Orchid,-9.189967,-75.015152
Petit Basset Griffon Vendéen,46.227638,2.213749
Petit Bleu de Gascogne,46.227638,2.213749
Phalène,50.503887,4.469936
Pharaoh Hound,35.937496,14.375416
Phu Quoc Ridgeback,14.058324,108.277199
Picardy Spaniel,46.227638,2.213749
Plott Hound,37.09024,-95.712891
Plummer Terrier,55.378051,-3.435973
Podenco Canario,40.463667,-3.74922
Poitevin,46.227638,2.213749
Polish Greyhound,51.919438,19.145136
Polish Hound,51.919438,19.145136
Polish Hunting Dog,51.919438,19.145136
Polish Lowland Sheepdog,51.919438,19.145136
Polish Tatra Sheepdog,51.919438,19.145136
Pomeranian,51.165691,10.451526
Pont-Audemer Spaniel,46.227638,2.213749
Poodle,46.227638,2.213749
Poodle,51.165691,10.451526
Porcelaine,46.227638,2.213749
Portuguese Podengo,39.399872,-8.224454
Portuguese Pointer,39.399872,-8.224454
Portuguese Water Dog,39.399872,-8.224454
Posavac Hound,45.1,15.2
Potsdam Greyhound,41.87194,12.56738
Praský Krysaík,49.817492,15.472962
Pudelpointer,51.165691,10.451526
Pug,35.86166,104.195397
Puli,47.162494,19.503304
Pumi,47.162494,19.503304
Pungsan,40.339852,127.510093
Pyrenean Mastiff,40.463667,-3.74922
Pyrenean Shepherd,46.227638,2.213749
Rafeiro do Alentejo,39.399872,-8.224454
Rajapalayam,20.593684,78.96288
Rampur Greyhound,20.593684,78.96288
Rastreador Brasileiro,-14.235004,-51.92528
Rat Terrier,37.09024,-95.712891
Ratonero Bodeguero Andaluz,40.463667,-3.74922
Ratonero Mallorquin,40.463667,-3.74922
Ratonero Murciano de Huerta,40.463667,-3.74922
Ratonero Valenciano,40.463667,-3.74922
Redbone Coonhound,37.09024,-95.712891
Rhodesian Ridgeback,-19.015438,29.154857
Romanian Mioritic Shepherd Dog,45.943161,24.96676
Romanian Raven Shepherd Dog ,45.943161,24.96676
Rottweiler,51.165691,10.451526
Russell Terrier,55.378051,-3.435973
Russian Salon,61.52401,105.318756
Russian Spaniel,61.52401,105.318756
Russian Toy,61.52401,105.318756
Russian Tracker,61.52401,105.318756
Russo-European Laika,61.52401,105.318756
Saarloos Wolfdog,51.165691,10.451526
Saarloos Wolfdog,52.132633,5.29126
Sabueso Español,40.463667,-3.74922
Sabueso fino Colombiano,4.570868,-74.297333
Saint Bernard,41.87194,12.56738
Saint Bernard,46.818188,8.2275
Saint John's water dog,56.130366,-106.34
Saint-Usuge Spaniel,46.227638,2.213749
Sakhalin Husky,61.52401,105.318756
Salish Wool Dog,56.130366,-106.346771
Saluki,29.733931,40.293571
Samoyed,61.52401,105.318756
Sapsali,38.140077,127.489685
Sarplaninac,44.016521,21.005859
Schapendoes,52.132633,5.291266
Schillerstövare,60.128161,18.643501
Schipperke,50.503887,4.469936
Schweizer Laufhund,46.818188,8.227512
Schweizerischer Niederlaufhund,46.818188,8.227512
Scotch Collie,57.167212,-4.301964
Scottish Deerhound,57.167212,-4.301964
Scottish Terrier,57.167212,-4.301964
Sealyham Terrier,52.256508,-3.942049
Segugio Italiano,41.87194,12.56738
Seppala Siberian Sleddog,56.130366,-106.346771
Serbian Hound,44.016521,21.005859
Serbian Tricolour Hound,44.016521,21.005859
Seskar Seal Dog,61.92411,25.748151
Shar Pei,35.86166,104.195397
Shetland Sheepdog,57.167212,-4.301964
Shiba Inu,36.204824,138.252924
Shih Tzu,35.86166,104.195397
Shikoku,36.204824,138.252924
Shiloh Shepherd,37.09024,-95.712891
Siberian Husky,61.52401,105.318756
Silken Windhound,37.09024,-95.712891
Silky Terrier,-25.274398,133.775136
Sinhala Hound,7.873054,80.771797
Skye Terrier,57.167212,-4.301964
Sloughi,31.791702,-7.09262
Slovak Cuvac,48.669026,19.699024
Slovakian Wirehaired Pointer,48.669026,19.699024
Slovenský kopov,48.669026,19.699024
Smålandsstövare,60.128161,18.643501
Small Greek Domestic Dog,39.074208,21.824312
Soft-Coated Wheaten Terrier,53.41291,-8.24389
South Russian Ovcharka,61.52401,105.318756
Southern Hound,55.378051,-3.435973
Spanish Mastiff,40.463667,-3.74922
Spanish Water Dog,40.463667,-3.74922
Spinone Italiano,41.87194,12.56738
Sporting Lucas Terrier,55.378051,-3.435973
Stabyhoun,52.132633,5.291266
Staffordshire Bull Terrier,55.378051,-3.435973
Standard Schnauzer,51.165691,10.451526
Stephens Cur,37.09024,-95.712891
Styrian Coarse-haired Hound,47.516231,14.550072
Sussex Spaniel,55.378051,-3.435973
Swedish Elkhound,60.128161,18.643501
Swedish Lapphund,60.128161,18.643501
Swedish Vallhund,60.128161,18.643501
Tahitian Dog,-17.653845,-149.438739
Tahltan Bear Dog,56.130366,-106.346771
Taigan,41.20438,74.766098
Taiwan Dog,23.69781,120.960515
Talbot Hound,55.378051,-3.435973
Tamaskan,61.92411,25.748151
Teddy Roosevelt Terrier,37.09024,-95.712891
Telomian,4.210484,101.975766
Tenterfield Terrier,-25.274398,133.775136
Terceira Mastiff,39.399872,-8.224454
Thai Bangkaew,15.870032,100.992541
Thai Ridgeback,15.870032,100.992541
Tibetan Mastiff,33.329499,88.216532
Tibetan Spaniel,33.329499,88.216532
Tibetan Terrier,33.329499,88.216532
Tornjak,43.915886,17.679076
Tosa,36.204824,138.252924
Toy Bulldog,55.378051,-3.435973
Toy Fox Terrier,37.09024,-95.712891
Toy Manchester Terrier,37.09024,-95.712891
Toy Trawler Spaniel,55.378051,-3.435973
Transylvanian Hound,47.162494,19.503304
Treeing Cur,37.09024,-95.712891
Treeing Tennessee Brindle,37.09024,-95.712891
Treeing Walker Coonhound,37.09024,-95.712891
Trigg Hound,37.09024,-95.712891
Tweed Water Spaniel,57.167212,-4.301964
Tyrolean Hound,47.516231,14.550072
Vanjari Hound,20.593684,78.96288
Villano de Las Encartaciones,40.463667,-3.74922
Villanuco de Las Encartaciones,40.463667,-3.74922
Vizsla,47.162494,19.503304
Volpino Italiano,41.87194,12.56738
Weimaraner,51.165691,10.451526
Welsh Corgi,52.256508,-3.942049
Welsh Sheepdog,52.256508,-3.942049
Welsh Springer Spaniel,52.256508,-3.942049
Welsh Terrier,52.256508,-3.942049
West Highland White Terrier,57.167212,-4.301964
West Siberian Laika,61.52401,105.318756
Westphalian Dachsbracke,51.165691,10.451526
Wetterhoun,52.132633,5.291266
Whippet,55.378051,-3.435973
White Shepherd,37.09024,-95.712891
Wirehaired Pointing Griffon,46.227638,2.213749
Wirehaired Vizsla,47.162494,19.503304
Xiasi Dog,35.86166,104.195397
Xoloitzcuintli,23.634501,-102.552784
Yakutian Laika,61.52401,105.318756
Yorkshire Terrier,55.378051,-3.435973